gameVersion,gameType,gameMode,gameId,championName,damageDealtToObjectives,damageDealtToTurrets,totalDamageDealtToChampions,win,kills,deaths,assists,damagePerMinute,kda,killParticipation
13.24.547.9214,MATCHED_GAME,CLASSIC,4865194857,Ahri,1896,1191,10327,False,0,8,5,551.6743538223278,0.625,0.4166666666666667
13.24.547.9214,MATCHED_GAME,CLASSIC,4866200007,Ahri,5564,1971,21804,True,10,4,9,715.2052671076248,4.75,0.5
13.24.547.9214,MATCHED_GAME,CLASSIC,4868193917,LeeSin,5024,5024,21315,False,10,11,5,798.0812564364672,1.3636363636363635,0.42857142857142855
13.24.547.9214,MATCHED_GAME,CLASSIC,4868214464,Hwei,1389,1389,12667,False,0,16,10,491.94115351102823,0.625,0.5263157894736842
13.24.547.9214,MATCHED_GAME,CLASSIC,4876987076,Ahri,2985,2985,10633,True,1,5,5,345.6914986879512,1.2,0.1935483870967742
13.24.547.9214,MATCHED_GAME,CLASSIC,4877035076,Ahri,5690,1888,23807,False,4,10,6,653.1172966039455,1.0,0.2564102564102564
13.24.547.9214,MATCHED_GAME,CLASSIC,4877711824,Akali,2009,2009,14696,False,3,12,3,492.4833177971761,0.5,0.3
13.24.547.9214,MATCHED_GAME,CLASSIC,4878468813,Yasuo,11984,3292,21920,False,11,13,5,723.4131522349022,1.2307692307692308,0.32653061224489793
13.24.547.9214,MATCHED_GAME,CLASSIC,4878526333,Ahri,356,356,8794,False,0,5,1,631.3884817700989,0.2,0.2
13.24.547.9214,MATCHED_GAME,CLASSIC,4880465162,Sylas,3244,3244,25359,True,16,2,3,1588.075850831748,9.5,0.7037037037037037
13.24.547.9214,MATCHED_GAME,CLASSIC,4881564295,Ahri,2359,1308,23994,False,9,5,5,985.309054757741,2.8,0.7368421052631579
13.24.547.9214,MATCHED_GAME,CLASSIC,4882323628,Sylas,20924,1014,5726,True,1,3,4,307.09663380545743,1.6666666666666667,0.1724137931034483
13.24.547.9214,MATCHED_GAME,CLASSIC,4883079063,Rengar,15262,903,8717,True,6,4,2,565.6484401112059,2.0,0.38095238095238093
13.24.547.9214,MATCHED_GAME,CLASSIC,4883091976,Talon,5972,958,27522,False,12,16,10,900.011869115319,1.375,0.7333333333333333
13.24.547.9214,MATCHED_GAME,CLASSIC,4884301773,Ahri,8569,8569,9452,True,3,2,4,500.0444802109134,3.5,0.2692307692307692
13.24.547.9214,MATCHED_GAME,CLASSIC,4884332977,Ahri,8691,6815,35894,True,14,8,9,1196.260585729809,2.875,0.5
13.24.547.9214,MATCHED_GAME,CLASSIC,4884797262,Ahri,13682,8953,58100,True,23,5,11,1878.8366974138241,6.8,0.7083333333333334
13.24.547.9214,MATCHED_GAME,CLASSIC,4885533855,LeeSin,21785,2175,9967,True,3,9,10,428.61098797118166,1.4444444444444444,0.29545454545454547
13.24.547.9214,MATCHED_GAME,CLASSIC,4886408356,Zac,5703,0,5239,False,4,4,0,304.33136444947746,1.0,0.5714285714285714
13.24.547.9214,MATCHED_GAME,CLASSIC,4886436885,Ahri,6323,6323,22323,True,7,5,7,886.3591774147351,2.8,0.358974358974359
14.1.552.7117,MATCHED_GAME,CLASSIC,4887318341,Ahri,6526,4528,26094,True,8,7,7,1031.480651148966,2.142857142857143,0.3409090909090909
14.1.552.7117,MATCHED_GAME,CLASSIC,4887357447,Viego,18670,1840,3362,False,3,4,2,177.37302780447948,1.25,0.35714285714285715
14.1.552.9668,MATCHED_GAME,CLASSIC,4887767432,Ahri,12257,4100,18651,False,4,9,6,546.5196776597685,1.1111111111111112,0.45454545454545453
14.1.553.2414,MATCHED_GAME,CLASSIC,4888559157,Ahri,2487,1035,32715,False,8,8,8,862.9887016649044,2.0,0.37209302325581395
14.1.553.2414,MATCHED_GAME,CLASSIC,4888899546,Ahri,0,0,11528,False,4,9,2,483.5446790636527,0.6666666666666666,0.46153846153846156
14.1.553.2414,MATCHED_GAME,CLASSIC,4889671622,Zac,18952,0,10089,False,1,9,5,354.16044825705245,0.6666666666666666,0.42857142857142855
14.1.553.2414,MATCHED_GAME,CLASSIC,4889718685,Janna,767,657,5592,False,0,10,13,161.54211541168613,1.3,0.4482758620689655
14.1.553.2414,MATCHED_GAME,CLASSIC,4889776775,Pantheon,1162,386,5910,False,0,11,10,192.16755847973752,0.9090909090909091,0.4166666666666667
14.1.553.2414,MATCHED_GAME,CLASSIC,4890203750,Ahri,3112,1427,20772,False,1,9,4,766.1297964446287,0.5555555555555556,0.2631578947368421
14.1.553.2414,MATCHED_GAME,CLASSIC,4891997178,Ahri,12416,8577,27352,True,6,11,12,743.4663480446417,1.6363636363636365,0.4186046511627907
14.1.553.2414,MATCHED_GAME,CLASSIC,4892057952,Galio,11275,5282,40688,True,20,5,8,1551.1883072307257,5.6,0.5833333333333334
14.1.553.2414,MATCHED_GAME,CLASSIC,4892088606,Sylas,1503,1503,20432,False,6,10,5,672.2806508730816,1.1,0.5
14.1.553.2414,MATCHED_GAME,CLASSIC,4892562209,Ahri,9192,9192,32173,True,4,6,3,865.4175544466965,1.1666666666666667,0.19444444444444445
14.1.553.2414,MATCHED_GAME,CLASSIC,4892620962,Ahri,13734,13734,19472,True,5,6,8,860.0330385041959,2.1666666666666665,0.43333333333333335
14.1.553.2414,MATCHED_GAME,CLASSIC,4892795860,Ahri,6818,3907,35111,True,11,6,4,1309.541985236157,2.5,0.4166666666666667
14.1.553.2414,MATCHED_GAME,CLASSIC,4892812023,Senna,5258,4165,44850,True,13,9,16,1337.229743259379,3.2222222222222223,0.5686274509803921
14.1.553.2414,MATCHED_GAME,CLASSIC,4893653169,Senna,7978,2930,19380,True,1,7,27,622.0205222197086,4.0,0.5384615384615384
14.1.553.2414,MATCHED_GAME,CLASSIC,4893704845,Ahri,7875,6116,32537,True,13,6,7,927.0690583765426,3.3333333333333335,0.4166666666666667
14.1.553.2414,MATCHED_GAME,CLASSIC,4893753583,Zyra,2220,0,20743,False,2,10,8,689.2664056217627,1.0,0.625
14.1.553.2414,MATCHED_GAME,CLASSIC,4894656844,Ahri,1864,1864,4911,False,1,4,0,270.2039485546761,0.25,0.14285714285714285
14.1.553.2414,MATCHED_GAME,CLASSIC,4894691002,Ahri,3123,3123,8917,True,1,3,2,488.81733506421864,1.0,0.1111111111111111
14.1.553.2414,MATCHED_GAME,CLASSIC,4894720535,Senna,7727,2331,24649,True,5,18,31,556.832710624768,2.0,0.5538461538461539
14.1.553.2414,MATCHED_GAME,CLASSIC,4894892823,Sona,1791,152,5975,True,0,4,12,298.75918788876623,3.0,0.4444444444444444
14.1.553.2414,MATCHED_GAME,CLASSIC,4894918421,Ahri,464,464,22669,False,4,11,7,648.8143340251452,1.0,0.3548387096774194
14.1.553.2414,MATCHED_GAME,CLASSIC,4895561459,Ahri,6363,5442,13160,True,2,5,5,435.5872061226013,1.4,0.20588235294117646
14.1.553.2414,MATCHED_GAME,CLASSIC,4895820317,Tristana,25653,9265,23352,False,5,11,4,662.6166316955916,0.8181818181818182,0.32142857142857145
14.1.553.2414,MATCHED_GAME,CLASSIC,4896140378,Ahri,11372,9614,32386,True,6,6,8,1082.2963116639717,2.3333333333333335,0.4117647058823529
14.1.553.2414,MATCHED_GAME,CLASSIC,4896156273,Ahri,7062,7062,23299,True,4,9,11,671.395563725114,1.6666666666666667,0.3125
14.1.553.2414,MATCHED_GAME,CLASSIC,4896188383,Ahri,5325,5325,33655,True,8,8,6,1103.0560720909084,1.75,0.35
14.1.553.2414,MATCHED_GAME,CLASSIC,4896613468,Ahri,8225,5472,27787,False,6,10,5,940.9262403247847,1.1,0.4782608695652174
14.1.553.2414,MATCHED_GAME,CLASSIC,4898074789,Ahri,6341,6341,29346,False,6,11,4,906.7039426138786,0.9090909090909091,0.5882352941176471
14.1.553.2414,MATCHED_GAME,CLASSIC,4898104692,Ezreal,30797,8971,55557,True,10,8,9,1279.0545028263655,2.375,0.5428571428571428
14.1.553.2414,MATCHED_GAME,CLASSIC,4899200055,Ahri,2391,2391,16173,False,4,8,2,593.2739908927837,0.75,0.3333333333333333
14.1.553.2414,MATCHED_GAME,CLASSIC,4899468169,Senna,14345,4323,25427,True,5,10,20,731.7697128620051,2.5,0.5555555555555556
14.1.553.2414,MATCHED_GAME,CLASSIC,4899491402,Lucian,0,0,630,True,1,0,1,355.2314706182515,2.0,0.6666666666666666
14.1.553.2414,MATCHED_GAME,CLASSIC,4899499297,Lucian,21009,1920,28311,False,7,14,9,681.8236148504532,1.1428571428571428,0.32653061224489793
14.1.553.2414,MATCHED_GAME,CLASSIC,4899772067,Morgana,2077,1487,10323,True,1,2,19,546.4273553645373,10.0,0.7407407407407407
14.1.553.2414,MATCHED_GAME,CLASSIC,4899797328,Renata,12526,390,14045,True,3,6,15,420.9618603595477,3.0,0.5806451612903226
14.1.553.2414,MATCHED_GAME,CLASSIC,4900008093,Sona,399,0,9153,False,0,10,15,261.35393804580525,1.5,0.5769230769230769
14.1.553.2414,MATCHED_GAME,CLASSIC,4900067881,Ahri,10151,2990,19371,True,4,3,9,862.0513654133142,4.333333333333333,0.5
14.1.553.2414,MATCHED_GAME,CLASSIC,4900098325,Ahri,2838,1024,11438,False,2,5,4,511.68907033495015,1.2,0.3157894736842105
14.1.553.2414,MATCHED_GAME,CLASSIC,4900211480,Ahri,3686,565,14863,False,1,4,2,520.9033628454519,0.75,0.25
14.1.553.2414,MATCHED_GAME,CLASSIC,4900864191,Ahri,3271,2722,41792,False,15,10,6,1218.8640879534075,2.1,0.5384615384615384
14.1.553.2414,MATCHED_GAME,CLASSIC,4901782066,Morgana,1791,1791,11599,True,7,1,8,746.6959920679767,15.0,0.6
14.2.555.1545,MATCHED_GAME,CLASSIC,4902515753,Ahri,363,0,7342,False,1,6,0,394.02617112056816,0.16666666666666666,0.07692307692307693
14.2.555.1545,MATCHED_GAME,CLASSIC,4902535600,Ahri,5444,5022,11261,False,5,5,3,545.8611929142027,1.6,0.8
14.2.555.1545,MATCHED_GAME,CLASSIC,4902570781,Alistar,0,0,0,False,0,0,0,0.0,0.0,
14.2.555.1545,MATCHED_GAME,CLASSIC,4902736504,Ahri,9217,7116,18061,False,5,8,4,555.6370532064744,1.125,0.32142857142857145
14.2.555.1545,MATCHED_GAME,CLASSIC,4902781787,Ahri,6480,6368,10923,True,1,6,1,471.90840601650933,0.3333333333333333,0.07407407407407407
14.2.555.1545,MATCHED_GAME,CLASSIC,4902803108,Zac,12091,0,20938,False,3,6,7,686.7290903367484,1.6666666666666667,0.625
14.2.556.584,MATCHED_GAME,CLASSIC,4903323291,Senna,984,984,13255,False,1,10,4,484.30716631641747,0.5,0.2777777777777778
14.2.556.3141,MATCHED_GAME,CLASSIC,4904843825,Talon,853,853,6244,False,3,6,1,375.8652442973166,0.6666666666666666,0.4
14.2.556.3141,MATCHED_GAME,CLASSIC,4904854432,Ahri,8893,2941,28150,True,5,11,17,808.4413349770208,2.0,0.41509433962264153
14.2.556.3141,MATCHED_GAME,CLASSIC,4905043110,Senna,9355,4136,35970,False,5,13,17,1017.6706857635237,1.6923076923076923,0.5365853658536586
14.2.556.3141,MATCHED_GAME,CLASSIC,4905083246,Seraphine,1327,205,4677,True,2,1,1,373.8885148648088,3.0,0.42857142857142855
14.2.556.3141,MATCHED_GAME,CLASSIC,4905101448,Janna,4656,2598,11733,True,1,6,21,427.0042330998365,3.6666666666666665,0.5641025641025641
